name,salary,area_name,published_at
Программист - разработчик на платформе Microsoft,34753.44,Москва,2004-05-18 15:23:03.040
Техник в отдел сопровождения,,Москва,2004-05-18 15:26:59.040
Менеджер по продажам,,Москва,2004-05-21 00:00:00.040
Менеджер по ведению тендеров,,Москва,2004-05-21 00:00:00.040
Инженер-квалификатор,13032.54,Москва,2004-05-18 15:55:04.040
Telecommunication Department Specialist,,Москва,2004-07-15 19:09:50.040
Программист,26099.370000000003,Москва,2004-06-25 16:37:30.040
Information Systems Department Specialist,,Москва,2004-06-16 11:06:38.040
Менеджер по работе в области прямого страхования,28999.300000000003,Москва,2004-06-04 00:00:00.040
Менеджер по работе с нестраховыми посредниками,43498.950000000004,Москва,2004-06-04 00:00:00.040
REI Install Engineer,,Нижний Новгород,2004-06-29 12:52:39.040
REI Install Quality Assurance Analyst,,Нижний Новгород,2004-06-29 12:53:18.040
REI Release Manager,,Нижний Новгород,2004-06-29 12:53:56.040
REI Validation Engineer,,Нижний Новгород,2004-06-29 12:54:24.040
Программист MS Visual C++,,Москва,2004-06-16 12:20:50.040
Программист,18849.545000000002,Москва,2004-06-15 00:00:00.040
Web-дизайнер,,Москва,2004-06-10 15:40:38.040
IT Help Desk Specialist,20299.510000000002,Москва,2004-06-16 00:00:00.040
Менеджер проекта,34753.44,Москва,2004-05-19 12:38:51.040
Региональный представитель в Челябинском регионе,,Челябинск,2004-07-16 14:20:37.040
Программист 1С,34753.44,Москва,2004-05-19 13:10:28.040
Программист MS SQL+Delphi,34753.44,Москва,2004-05-19 13:12:46.040
Программист SQL\OLAP,43441.8,Москва,2004-05-19 13:14:28.040
Менеджер по продажам компьютерной техники/сетевых решений,57922.4,Москва,2004-05-19 13:17:11.040
Менеджер по работе с ключевыми клиентами,57922.4,Москва,2004-05-19 13:19:39.040
Менеджер по проектам (телекоммуникационное оборудование),43441.8,Москва,2004-05-19 13:21:04.040
Pre-sale инженер,34753.44,Москва,2004-05-19 13:26:18.040
