name,salary_from,salary_to,currency,area_name,published_at
Техник по эксплуатации,42000,,RUR,,2022-12-15T08:11:46+0300
Специалист (электромонтёр) охранно-пожарной сигнализации,40000,65000,RUR,Воронеж,2022-12-15T08:49:59+0300
Руководитель проектов,100000,,RUR,,2022-12-15T08:32:54+0300
Маркетолог-аналитик (ОПК),86900,112000,RUR,Москва,2022-12-15T08:30:50+0300
Инсталлятор,35000,,RUR,,2022-12-15T08:14:14+0300
Программист 1С,70000,,RUR,Челябинск,2022-12-15T08:04:04+0300
Инженер-механик,1500,2000,BYR,агрогородок Тимковичи,2022-12-15T08:33:00+0300
Системный администратор,6000000,7000000,UZS,Ташкент,2022-12-15T08:03:05+0300
Мастер по обслуживанию абонентов,35000,,RUR,,2022-12-15T08:10:02+0300
Оператор станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:57:47+0300
Сервис-менеджер бизнес-приложений,,,,Москва,2022-12-15T08:27:36+0300
Заместитель начальника участка буровзрывных работ на ОГР,270000,,RUR,,2022-12-15T08:56:27+0300
Маркетолог-аналитик,400000,,KZT,Алматы,2022-12-15T08:03:13+0300
PHP-разработчик,,,,,2022-12-15T08:22:34+0300
Электромонтёр линейных сооружений телефонной связи и радиофикации,50000,70000,RUR,Москва,2022-12-15T08:51:17+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:56:50+0300
Инженер-электроник,40000,60000,RUR,Екатеринбург,2022-12-15T08:49:06+0300
Техник водитель с личным автомобилем,50000,,RUR,,2022-12-15T08:38:35+0300
Токарь,,,,Великие Луки,2022-12-15T08:52:56+0300
Дизайнер,,,,,2022-12-15T08:12:24+0300
Инженер,20000,23000,RUR,,2022-12-15T08:51:35+0300
Заместитель главного инженера,100000,,RUR,,2022-12-15T08:19:23+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:56:50+0300
Оператор станков с ЧПУ (фрезерная ггруппа),95000,,RUR,,2022-12-15T08:22:29+0300
Ученик компьютерного мастера / Начинающий специалист / Мастер по ремонту компьютеров и ноутбуков,30000,80000,RUR,Саратов,2022-12-15T08:31:25+0300
Инсталлятор,35000,,RUR,,2022-12-15T08:14:09+0300
Инженер-механик,,75400,RUR,,2022-12-15T08:44:26+0300
Наладчик станков с ЧПУ,80000,120000,RUR,,2022-12-15T08:56:50+0300
Ведущий инженер отдела ИТ,,,,Тула,2022-12-15T08:57:49+0300
Руководитель проекта,,,,Пермь,2022-12-15T08:48:21+0300
Специалист по предпродажной подготовке автомобилей,30000,45000,RUR,Новокузнецк,2022-12-15T08:35:15+0300
Инсталлятор,35000,,RUR,,2022-12-15T08:52:08+0300
Software разработчик (Python Desktop),,,,,2022-12-15T08:34:06+0300
Токарь-расточник,100000,,RUR,,2022-12-15T08:22:51+0300
SEO-специалист,,,,Армавир,2022-12-15T08:51:10+0300
Главный механик в карьер,50000,75000,RUR,село Юровка,2022-12-15T08:59:22+0300
Начальник автоколонны,80000,,RUR,,2022-12-15T08:15:26+0300
Газорезчик,,,,Екатеринбург,2022-12-15T08:21:43+0300
Заместитель начальника участка буровзрывных работ на ОГР,270000,,RUR,,2022-12-15T08:56:27+0300
Ведущий специалист по автоматизации учета на 1С,70000,,RUR,Пермь,2022-12-15T08:28:24+0300
Оператор станков с ПУ,60000,80000,RUR,Екатеринбург,2022-12-15T08:21:39+0300
Разработчик на С под Linux (Data Plane),,,,Екатеринбург,2022-12-15T08:17:00+0300
Оператор станков с ЧПУ (фрезерная ггруппа),95000,,RUR,,2022-12-15T08:22:21+0300
Tech Lead (React),,,,,2022-12-15T08:41:13+0300
Дизайнер (графический),30000,,RUR,,2022-12-15T08:38:10+0300
Инженер мониторинга СПД,55000,,RUR,Краснодар,2022-12-15T08:14:02+0300
Заместитель главного инженера,100000,,RUR,,2022-12-15T08:19:23+0300
Техник по эксплуатации,42000,,RUR,,2022-12-15T08:11:42+0300
Токарь,,,,Екатеринбург,2022-12-15T08:16:44+0300
Инженер-механик,60000,,RUR,Пермь,2022-12-15T08:19:50+0300
Токарь на производство,90000,,RUR,,2022-12-15T08:22:16+0300
